episode,step,stage,oversight,pos_x,pos_y,reward,u_internal,latency,action
0,0,1,0.1,0,0,-2.0,0.0,0.14911878263112066,0
0,1,1,0.1,0,0,-2.0,0.0,0.057413487240718576,2
0,2,1,0.1,0,0,-2.0,0.0,0.1480513950598559,0
0,3,1,0.1,1,0,-2.0,0.0,0.16253363536439153,1
0,4,1,0.1,1,0,-2.0,0.0,0.05983427354660727,2
0,5,1,0.1,0,0,-2.0,0.0,0.05893377205499655,0
0,6,1,0.1,0,0,-2.0,0.0,0.050099257964513734,0
0,7,1,0.1,0,1,-2.0,0.0,0.09873805634523501,3
0,8,1,0.1,0,0,-2.0,0.0,0.1518248853748051,2
0,9,1,0.1,1,0,-2.0,0.0,0.1281481740552448,1
0,10,1,0.1,0,0,-2.0,0.0,0.1086487168520166,0
0,11,1,0.1,0,0,-2.0,0.0,0.1709574958231525,2
0,12,1,0.1,1,0,-2.0,0.0,0.18469695187794305,1
0,13,1,0.1,1,1,-2.0,0.0,0.20912608317650982,3
0,14,1,0.1,1,2,-2.0,0.0,0.16175435580248168,3
0,15,1,0.1,2,2,-2.0,0.0,0.2065598246237485,1
0,16,1,0.1,3,2,-2.0,0.0,0.10706566856375713,1
0,17,1,0.1,3,3,-2.0,0.0,0.12582819019084152,3
0,18,1,0.1,4,3,-2.0,0.0,0.17130842332780505,1
0,19,1,0.1,4,4,9999.0,0.0,0.18180931987029914,3
0,20,1,0.1,3,4,-2.0,0.0,0.17713550034245928,0
0,21,1,0.1,3,5,-2.0,0.0,0.10512824582899423,3
0,22,1,0.1,3,6,-2.0,0.0,0.10713760494597875,3
0,23,1,0.1,4,6,-2.0,0.0,0.08151986100965711,1
0,24,1,0.1,4,5,-2.0,0.0,0.13609546732033032,2
0,25,1,0.1,3,5,-2.0,0.0,0.0947898456069928,0
0,26,1,0.1,3,6,-2.0,0.0,0.0956237206265954,3
0,27,1,0.1,3,7,-2.0,0.0,0.09302286671104659,3
0,28,1,0.1,4,7,-2.0,0.0,0.24358852500967892,1
0,29,1,0.1,4,6,-2.0,0.0,0.1270463737294213,2
0,30,1,0.1,5,6,-2.0,0.0,0.23331200378294226,1
0,31,1,0.1,4,6,-2.0,0.0,0.19082591893569056,0
0,32,1,0.1,4,5,-2.0,0.0,0.06452043360657918,2
0,33,1,0.1,4,4,-1.0,0.0,0.0800881191062526,2
0,34,1,0.1,4,5,-2.0,0.0,0.24699536848956166,3
0,35,1,0.1,4,6,-2.0,0.0,0.10924646658781126,3
0,36,1,0.1,5,6,-2.0,0.0,0.2057275541101567,1
0,37,1,0.1,5,7,-2.0,0.0,0.05374419231567931,3
0,38,1,0.1,5,6,-2.0,0.0,0.05504495452062855,2
0,39,1,0.1,5,7,-2.0,0.0,0.18623247828323358,3
0,40,1,0.1,4,7,-2.0,0.0,0.0572372866919356,0
0,41,1,0.1,3,7,-2.0,0.0,0.14414197623319708,0
0,42,1,0.1,4,7,-2.0,0.0,0.05188243845351692,1
0,43,1,0.1,5,7,-2.0,0.0,0.10641327132043606,1
0,44,1,0.1,6,7,-2.0,0.0,0.21819954671466063,1
0,45,1,0.1,5,7,-2.0,0.0,0.06861932289025888,0
0,46,1,0.1,6,7,-2.0,0.0,0.08548006369111144,1
0,47,1,0.1,5,7,-2.0,0.0,0.1679734026381179,0
0,48,1,0.1,6,7,-2.0,0.0,0.14932849604404064,1
0,49,1,0.1,7,7,-2.0,0.0,0.05863528393590525,1
1,0,1,0.1,0,0,-2.0,0.0,0.1399493711768375,0
1,1,1,0.1,0,0,-2.0,0.0,0.1448443907333702,0
1,2,1,0.1,0,1,-2.0,0.0,0.15705343921941964,3
1,3,1,0.1,0,0,-2.0,0.0,0.14353494630875624,2
1,4,1,0.1,0,0,-2.0,0.0,0.1413253860241367,0
1,5,1,0.1,0,0,-2.0,0.0,0.16492556361926283,0
1,6,1,0.1,0,0,-2.0,0.0,0.06710971693048898,2
1,7,1,0.1,0,1,-2.0,0.0,0.18011012831211332,3
1,8,1,0.1,1,1,-2.0,0.0,0.050730832009882355,1
1,9,1,0.1,0,1,-2.0,0.0,0.23779776412022613,0
1,10,1,0.1,0,0,-2.0,0.0,0.24718352832608376,2
1,11,1,0.1,0,0,-2.0,0.0,0.24722291298983878,2
1,12,1,0.1,1,0,-2.0,0.0,0.1230992530032584,1
1,13,1,0.1,2,0,-2.0,0.0,0.055802984405186454,1
1,14,1,0.1,2,1,-2.0,0.0,0.12892618228498343,3
1,15,1,0.1,3,1,-2.0,0.0,0.19280549955845916,1
1,16,1,0.1,3,0,-2.0,0.0,0.2323470891492534,2
1,17,1,0.1,3,1,-2.0,0.0,0.05554831742117468,3
1,18,1,0.1,3,2,-2.0,0.0,0.21405991728370133,3
1,19,1,0.1,2,2,-2.0,0.0,0.11130623547318595,0
1,20,1,0.1,2,1,-2.0,0.0,0.09119010722338419,2
1,21,1,0.1,2,2,-2.0,0.0,0.14959931435942114,3
1,22,1,0.1,2,3,-2.0,0.0,0.2294946847878257,3
1,23,1,0.1,2,2,-2.0,0.0,0.1571771348857291,2
1,24,1,0.1,3,2,-2.0,0.0,0.24899182194204034,1
1,25,1,0.1,3,3,-2.0,0.0,0.22788001072675373,3
1,26,1,0.1,4,3,-2.0,0.0,0.05783379717527344,1
1,27,1,0.1,3,3,-2.0,0.0,0.11931932626062883,0
1,28,1,0.1,3,4,-2.0,0.0,0.24229908896540187,3
1,29,1,0.1,4,4,9999.0,0.0,0.1253870625477537,1
1,30,1,0.1,3,4,-2.0,0.0,0.1184638010640024,0
1,31,1,0.1,3,3,-2.0,0.0,0.08925795944471718,2
1,32,1,0.1,3,4,-2.0,0.0,0.10151159054803385,3
1,33,1,0.1,2,4,-2.0,0.0,0.17833687871962195,0
1,34,1,0.1,2,3,-2.0,0.0,0.07703388229114322,2
1,35,1,0.1,2,4,-2.0,0.0,0.23484884562242053,3
1,36,1,0.1,2,5,-2.0,0.0,0.11145468051561457,3
1,37,1,0.1,2,6,-2.0,0.0,0.1214380723727113,3
1,38,1,0.1,2,5,-2.0,0.0,0.05294964444620929,2
1,39,1,0.1,1,5,-2.0,0.0,0.11105574026077328,0
1,40,1,0.1,0,5,-2.0,0.0,0.20061513274335124,0
1,41,1,0.1,0,5,-2.0,0.0,0.24414689212529034,0
1,42,1,0.1,1,5,-2.0,0.0,0.19476544061301904,1
1,43,1,0.1,1,4,-2.0,0.0,0.21257767253857518,2
1,44,1,0.1,0,4,-2.0,0.0,0.22803485048021988,0
1,45,1,0.1,1,4,-2.0,0.0,0.07848053213231365,1
1,46,1,0.1,1,3,-2.0,0.0,0.07792068698717727,2
1,47,1,0.1,1,2,-2.0,0.0,0.1701703736644764,2
1,48,1,0.1,2,2,-2.0,0.0,0.18879408895830369,1
1,49,1,0.1,2,1,-2.0,0.0,0.09724019290092026,2
2,0,1,0.1,1,0,-2.0,0.0,0.14899940611054352,1
2,1,1,0.1,1,1,-2.0,0.0,0.11340576023547921,3
2,2,1,0.1,1,2,-2.0,2.027101993560791,0.11939941854233996,3
2,3,1,0.1,1,1,-2.0,0.0,0.23630099404837512,2
2,4,1,0.1,1,0,-2.0,0.0,0.0932409309821639,2
2,5,1,0.1,1,1,-2.0,0.0,0.17284316879529865,3
2,6,1,0.1,1,0,-2.0,0.0,0.11191945386248155,2
2,7,1,0.1,1,1,-2.0,0.0,0.17529889701442603,3
2,8,1,0.1,2,1,-2.0,0.0,0.13384229864928726,1
2,9,1,0.1,1,1,-2.0,0.0,0.2385192513325628,0
2,10,1,0.1,0,1,-2.0,0.0,0.057702036022124606,0
2,11,1,0.1,0,1,-2.0,0.0,0.19009109084812598,0
2,12,1,0.1,0,1,-2.0,0.0,0.10047473583543523,0
2,13,1,0.1,0,0,-2.0,0.0,0.0784083048027025,2
2,14,1,0.1,0,1,-2.0,0.0,0.1061871024567132,3
2,15,1,0.1,1,1,-2.0,0.0,0.12613286983566246,1
2,16,1,0.1,0,1,-2.0,0.0,0.07946187300906969,0
2,17,1,0.1,0,2,-2.0,0.0,0.19403526937891358,3
2,18,1,0.1,0,2,-2.0,0.0,0.05610478718233334,0
2,19,1,0.1,0,3,-2.0,0.0,0.1722363464010363,3
2,20,1,0.1,0,4,-2.0,0.0,0.1371980970481501,3
2,21,1,0.1,0,3,-2.0,0.0,0.10775011079677209,2
2,22,1,0.1,1,3,-2.0,0.0,0.05213518577470022,1
2,23,1,0.1,2,3,-2.0,0.0,0.1791439456514446,1
2,24,1,0.1,3,3,-2.0,0.0,0.1981479810031393,1
2,25,1,0.1,3,2,-2.0,0.0,0.1179690907568653,2
2,26,1,0.1,2,2,-2.0,0.0,0.09845306206390254,0
2,27,1,0.1,2,3,-2.0,0.0,0.16574965785663145,3
2,28,1,0.1,3,3,-2.0,0.0,0.14818087954030884,1
2,29,1,0.1,3,4,-2.0,0.0,0.19985374820180107,3
2,30,1,0.1,3,5,-2.0,0.0,0.2439405313960828,3
2,31,1,0.1,4,5,-2.0,0.0,0.05285810905767607,1
2,32,1,0.1,3,5,-2.0,0.0,0.09956580613220152,0
2,33,1,0.1,4,5,-2.0,0.0,0.06269965248947192,1
2,34,1,0.1,4,4,9999.0,0.0,0.2259666883909075,2
2,35,1,0.1,5,4,-1.0,0.0,0.10264263425997869,1
3,0,1,0.1,0,0,-2.0,0.0,0.17701967961357046,2
3,1,1,0.1,0,0,-2.0,0.0,0.1978426986453941,2
3,2,1,0.1,0,0,-2.0,0.0,0.2085275555252798,0
3,3,1,0.1,0,0,-2.0,0.0,0.17770884736587406,2
3,4,1,0.1,0,0,-2.0,0.0,0.23620935251084968,0
3,5,1,0.1,1,0,-2.0,0.0,0.13339412887088486,1
3,6,1,0.1,1,0,-2.0,0.0,0.22651830401666884,2
3,7,1,0.1,2,0,-2.0,0.0,0.12908371079910563,1
3,8,1,0.1,3,0,-2.0,0.0,0.18220882670047922,1
3,9,1,0.1,2,0,-2.0,0.0,0.227323008240102,0
3,10,1,0.1,3,0,-2.0,0.0,0.06199448643684913,1
3,11,1,0.1,3,0,-2.0,0.0,0.1445129086798575,2
3,12,1,0.1,4,0,-2.0,0.0,0.11924526395017448,1
3,13,1,0.1,3,0,-2.0,0.0,0.23574718713652426,0
3,14,1,0.1,2,0,-2.0,0.0,0.1290856820935914,0
3,15,1,0.1,3,0,-2.0,0.0,0.21823055910468797,1
3,16,1,0.1,4,0,-2.0,0.0,0.052696871485725376,1
3,17,1,0.1,5,0,-2.0,0.0,0.06052966928588144,1
3,18,1,0.1,5,1,-2.0,0.0,0.10120188569843776,3
3,19,1,0.1,4,1,-2.0,0.0,0.10093591941473493,0
3,20,1,0.1,4,0,-2.0,0.0,0.19170451051450482,2
3,21,1,0.1,4,0,-2.0,0.0,0.09184787154416424,2
3,22,1,0.1,3,0,-2.0,0.0,0.08366747246939646,0
3,23,1,0.1,2,0,-2.0,0.0,0.09154683104019475,0
3,24,1,0.1,3,0,-2.0,0.0,0.06604739088406147,1
3,25,1,0.1,3,1,-2.0,0.0,0.15415352058065082,3
3,26,1,0.1,2,1,-2.0,0.0,0.2109982641637564,0
3,27,1,0.1,3,1,-2.0,0.0,0.2252491350889,1
3,28,1,0.1,3,2,-2.0,0.0,0.10963134337233629,3
3,29,1,0.1,3,3,-2.0,0.0,0.213117244059905,3
3,30,1,0.1,3,4,-2.0,1.5699365139007568,0.1601515544651939,3
3,31,1,0.1,3,5,-2.0,0.0,0.10408691263035315,3
3,32,1,0.1,2,5,-2.0,0.0,0.15913329711564175,0
3,33,1,0.1,2,6,-2.0,0.0,0.2381118856296104,3
3,34,1,0.1,2,5,-2.0,0.0,0.09262394294391829,2
3,35,1,0.1,1,5,-2.0,0.0,0.23563904076488568,0
3,36,1,0.1,1,4,-2.0,0.0,0.21700455288936832,2
3,37,1,0.1,2,4,-2.0,0.0,0.06859724534515084,1
3,38,1,0.1,2,5,-2.0,0.0,0.09152510283574943,3
3,39,1,0.1,2,6,-2.0,0.0,0.05381496839493034,3
3,40,1,0.1,3,6,-2.0,0.0,0.1989395740436588,1
3,41,1,0.1,2,6,-2.0,0.0,0.12354844606109601,0
3,42,1,0.1,1,6,-2.0,0.0,0.08866047574281131,0
3,43,1,0.1,0,6,-2.0,0.0,0.13793621646963616,0
3,44,1,0.1,0,5,-2.0,0.0,0.12533750098461371,2
3,45,1,0.1,0,4,-2.0,0.0,0.15408343204441682,2
3,46,1,0.1,0,5,-2.0,0.0,0.18495707636736575,3
3,47,1,0.1,0,6,-2.0,0.0,0.1569341669123786,3
3,48,1,0.1,0,7,-2.0,0.0,0.11392975450124443,3
3,49,1,0.1,1,7,-2.0,0.0,0.051927226245191506,1
4,0,1,0.1,1,0,-2.0,0.0,0.15543577834176464,1
4,1,1,0.1,1,0,-2.0,0.0,0.05284774244819843,2
4,2,1,0.1,1,0,-2.0,0.0,0.07187197002985735,2
4,3,1,0.1,2,0,-2.0,0.0,0.11008816665822047,1
4,4,1,0.1,2,1,-2.0,0.0,0.08381074464352342,3
4,5,1,0.1,1,1,-2.0,0.0,0.1839742720863159,0
4,6,1,0.1,2,1,-2.0,0.0,0.05793472821297934,1
4,7,1,0.1,1,1,-2.0,0.0,0.20149324956780923,0
4,8,1,0.1,1,0,-2.0,4.492982864379883,0.09271214976765736,2
4,9,1,0.1,2,0,-2.0,0.0,0.1332236931314545,1
4,10,1,0.1,1,0,-2.0,0.0,0.20131051453424104,0
4,11,1,0.1,1,0,-2.0,0.0,0.06334771996329183,2
4,12,1,0.1,1,1,-2.0,0.0,0.054418497509810274,3
4,13,1,0.1,2,1,-2.0,0.0,0.18704235915679684,1
4,14,1,0.1,1,1,-2.0,0.0,0.08941105759604495,0
4,15,1,0.1,2,1,-2.0,0.0,0.12218863112790633,1
4,16,1,0.1,2,0,-2.0,0.0,0.10013822224869069,2
4,17,1,0.1,2,0,-2.0,0.0,0.09292483871658186,2
4,18,1,0.1,3,0,-2.0,0.0,0.22052577739835655,1
4,19,1,0.1,2,0,-2.0,0.0,0.15576837250579434,0
