episode,step,oversight,pos_x,pos_y,reward,u_internal,latency,action
50,0,0.1,0,3,-100.5,0.0,0.05407244532112472,0
50,1,0.1,0,4,99.5,0.0,0.24442161803393792,3
50,2,0.1,0,3,-100.5,0.0,0.0574778866185802,2
50,3,0.1,0,2,-100.5,0.0,0.13151305549720219,2
50,4,0.1,0,3,99.5,0.0,0.16094062329458503,3
50,5,0.1,0,3,-0.5,0.0,0.2250383867482787,0
50,6,0.1,0,3,-0.5,0.0,0.20659921522593222,0
50,7,0.1,0,4,99.5,0.0,0.1274844990687315,3
50,8,0.1,0,4,-0.5,0.0,0.14171649203806008,0
50,9,0.1,0,3,-100.5,0.0,0.1253085749173795,2
50,10,0.1,1,3,99.5,0.0,0.12521003367939554,1
50,11,0.1,1,4,99.5,0.0,0.23319523832623862,3
50,12,0.1,1,5,-100.5,0.0,0.08299501579675655,3
50,13,0.1,1,4,99.5,0.0,0.08960489929993526,2
50,14,0.1,1,3,-100.5,0.0,0.23903137188594598,2
50,15,0.1,0,3,-100.5,0.0,0.17777056520280504,0
50,16,0.1,1,3,99.5,4205.02001953125,0.1312074276032717,1
50,17,0.1,1,4,99.5,0.0,0.12581743409157625,3
50,18,0.1,1,5,-100.5,0.0,0.11538558641379495,3
50,19,0.1,1,4,99.5,0.0,0.051993740832533525,2
50,20,0.1,1,3,-100.5,0.0,0.08290786908910203,2
50,21,0.1,0,3,-100.5,0.0,0.10370458071189742,0
50,22,0.1,0,3,-0.5,0.0,0.12890965417999667,0
50,23,0.1,0,3,-0.5,0.0,0.23656516772021635,0
50,24,0.1,0,2,-100.5,0.0,0.059245023013226095,2
50,25,0.1,0,2,-0.5,0.0,0.15965262924967716,0
50,26,0.1,0,1,-100.5,0.0,0.0579815672191985,2
50,27,0.1,0,2,99.5,0.0,0.19018361583038756,3
50,28,0.1,1,2,99.5,0.0,0.05157142511851749,1
50,29,0.1,2,2,99.5,0.0,0.17751143256603896,1
50,30,0.1,2,3,99.5,0.0,0.0820577545454361,3
50,31,0.1,2,2,-100.5,0.0,0.10818549621667382,2
50,32,0.1,2,3,99.5,0.0,0.07804592017867847,3
50,33,0.1,3,3,99.5,0.0,0.09599624808776784,1
50,34,0.1,2,3,-100.5,0.0,0.08058219967957542,0
50,35,0.1,3,3,99.5,4958.05029296875,0.14948093693362546,1
50,36,0.1,3,4,99.5,0.0,0.22333702816816514,3
50,37,0.1,4,4,20000.5,0.0,0.248157320331357,1
50,38,0.1,5,4,-199.5,0.0,0.06657665037486345,1
51,0,0.1,3,3,99.5,0.0,0.24781765161747255,1
51,1,0.1,2,3,-100.5,0.0,0.2079643545576766,0
51,2,0.1,1,3,-100.5,0.0,0.060466459294256585,0
51,3,0.1,2,3,99.5,4706.01513671875,0.09430402868851205,1
51,4,0.1,2,4,99.5,0.0,0.10169456161964029,3
51,5,0.1,1,4,-100.5,0.0,0.05851769122622888,0
51,6,0.1,1,3,-100.5,0.0,0.16381554027157036,2
51,7,0.1,2,3,99.5,0.0,0.06910917397861485,1
51,8,0.1,1,3,-100.5,0.0,0.1778766688701942,0
51,9,0.1,2,3,99.5,0.0,0.06089376609955802,1
51,10,0.1,3,3,99.5,0.0,0.18131794368509807,1
51,11,0.1,3,2,-100.5,0.0,0.08843019400196397,2
51,12,0.1,2,2,-100.5,0.0,0.07639575710659507,0
51,13,0.1,3,2,99.5,0.0,0.16616794529247614,1
51,14,0.1,3,3,99.5,4856.359375,0.05107341811266293,3
51,15,0.1,2,3,-100.5,0.0,0.19091521172950893,0
51,16,0.1,1,3,-100.5,0.0,0.19968198939356452,0
51,17,0.1,1,4,99.5,0.0,0.19508125506092594,3
51,18,0.1,1,5,-100.5,5014.50732421875,0.09317066286339987,3
51,19,0.1,0,5,-100.5,0.0,0.24356270531641971,0
51,20,0.1,0,5,-0.5,0.0,0.09624569742491285,0
51,21,0.1,1,5,99.5,0.0,0.12436514635040544,1
51,22,0.1,1,4,99.5,0.0,0.2233361277350523,2
51,23,0.1,1,3,-100.5,0.0,0.21400496788413303,2
51,24,0.1,0,3,-100.5,0.0,0.1587687250248737,0
51,25,0.1,0,2,-100.5,0.0,0.10370544646991404,2
51,26,0.1,0,2,-0.5,0.0,0.1669562295016686,0
51,27,0.1,0,3,99.5,0.0,0.15650239920769074,3
51,28,0.1,0,4,99.5,0.0,0.2318735877151396,3
51,29,0.1,1,4,99.5,0.0,0.13326891107685385,1
51,30,0.1,1,5,-100.5,5068.44482421875,0.12992772638253838,3
51,31,0.1,0,5,-100.5,0.0,0.142841536648452,0
51,32,0.1,0,6,-100.5,5157.8701171875,0.19693940179359198,3
51,33,0.1,0,7,-100.5,0.0,0.18768034774088221,3
51,34,0.1,0,8,-100.5,0.0,0.19168355104756035,3
51,35,0.1,0,9,-100.5,0.0,0.16876966167961538,3
51,36,0.1,0,8,99.5,0.0,0.12134972393718775,2
51,37,0.1,0,8,-0.5,0.0,0.24927294225853186,0
51,38,0.1,0,7,99.5,0.0,0.16832700584672033,2
51,39,0.1,0,8,-100.5,0.0,0.16204772720592947,3
51,40,0.1,0,9,-100.5,0.0,0.079218644086054,3
51,41,0.1,1,9,99.5,0.0,0.10758169161149421,1
51,42,0.1,1,9,-0.5,0.0,0.13339063830410028,3
51,43,0.1,1,8,100.5,0.0,0.17437137524622698,2
51,44,0.1,1,9,-100.5,7784.94384765625,0.1525621920709143,3
51,45,0.1,2,9,99.5,0.0,0.10751934190912522,1
51,46,0.1,2,9,-0.5,0.0,0.13186103449234682,3
51,47,0.1,2,8,99.5,0.0,0.06801085058913764,2
51,48,0.1,1,8,-100.5,0.0,0.20617052522011436,0
51,49,0.1,1,9,-100.5,0.0,0.17126265956252001,3
52,0,0.1,3,1,-100.5,0.0,0.23138305558986555,2
52,1,0.1,3,0,-100.5,0.0,0.2477492888430537,2
52,2,0.1,3,0,-0.5,0.0,0.19325606299380998,2
52,3,0.1,3,0,-0.5,0.0,0.21479483017518658,2
52,4,0.1,3,1,99.5,0.0,0.10434801055504946,3
52,5,0.1,3,0,-100.5,0.0,0.2069257284273125,2
52,6,0.1,3,0,-0.5,0.0,0.05039181001841131,2
52,7,0.1,3,0,-0.5,0.0,0.1855577958666343,2
52,8,0.1,3,1,99.5,0.0,0.05355943813443203,3
52,9,0.1,3,2,99.5,4804.8544921875,0.16313492422677006,3
52,10,0.1,3,3,99.5,0.0,0.09442407224495802,3
52,11,0.1,4,3,99.5,0.0,0.13454524964042514,1
52,12,0.1,4,4,20000.5,5804.240234375,0.18314611733385278,3
52,13,0.1,4,3,-0.5,0.0,0.20120052865718824,2
52,14,0.1,5,3,-0.5,0.0,0.06621676291643933,1
52,15,0.1,6,3,-0.5,0.0,0.22996067175420948,1
52,16,0.1,5,3,-0.5,0.0,0.05290044753426997,0
52,17,0.1,6,3,-0.5,0.0,0.07487880927582202,1
52,18,0.1,6,4,-0.5,0.0,0.0993781988914859,3
52,19,0.1,6,5,-0.5,0.0,0.1571345296087482,3
52,20,0.1,6,4,-0.5,0.0,0.10337286896433445,2
52,21,0.1,6,3,-0.5,0.0,0.23161774505234428,2
52,22,0.1,6,4,-0.5,8315.1455078125,0.1893699136038569,3
52,23,0.1,6,3,-0.5,0.0,0.20459800421738938,2
52,24,0.1,5,3,-0.5,0.0,0.06845816013031897,0
52,25,0.1,5,2,-0.5,0.0,0.09670643164828752,2
52,26,0.1,6,2,-0.5,0.0,0.20333042660587974,1
52,27,0.1,7,2,-0.5,0.0,0.1104171289860539,1
52,28,0.1,7,3,-0.5,8389.9951171875,0.2081869102929632,3
52,29,0.1,7,4,-0.5,8794.958984375,0.16123372232849698,3
52,30,0.1,7,3,-0.5,0.0,0.19842513390773575,2
52,31,0.1,6,3,-0.5,0.0,0.20305991825352504,0
52,32,0.1,7,3,-0.5,0.0,0.08890756562064948,1
52,33,0.1,8,3,-0.5,0.0,0.16202152736969977,1
52,34,0.1,8,4,-0.5,9261.8544921875,0.19741134053163395,3
52,35,0.1,9,4,-0.5,0.0,0.08548910012990259,1
52,36,0.1,9,4,-0.5,0.0,0.12156118193008743,1
52,37,0.1,8,4,-0.5,0.0,0.1861515517364939,0
52,38,0.1,8,5,-0.5,9838.451171875,0.11526854616871536,3
52,39,0.1,8,4,-0.5,0.0,0.22017253228455702,2
52,40,0.1,8,3,-0.5,0.0,0.0940153544118345,2
52,41,0.1,8,4,-0.5,0.0,0.11920556244179464,3
52,42,0.1,8,3,-0.5,0.0,0.05609117267563557,2
52,43,0.1,7,3,-0.5,0.0,0.14102262055152903,0
52,44,0.1,7,2,-0.5,0.0,0.20288000729399208,2
52,45,0.1,7,1,-0.5,0.0,0.1690050319594361,2
52,46,0.1,7,2,-0.5,0.0,0.10626922715969563,3
52,47,0.1,7,1,-0.5,0.0,0.08202725051045708,2
52,48,0.1,6,1,-0.5,0.0,0.1969993376305484,0
52,49,0.1,6,2,-0.5,0.0,0.2226276289708839,3
53,0,0.1,5,1,-100.5,0.0,0.1610464352384362,1
53,1,0.1,5,2,99.5,0.0,0.1722599531184075,3
53,2,0.1,4,2,99.5,0.0,0.1419521594992968,0
53,3,0.1,3,2,-100.5,0.0,0.11787137142221081,0
53,4,0.1,2,2,-100.5,0.0,0.1833148317543687,0
53,5,0.1,2,3,99.5,5714.0302734375,0.09754900487813888,3
53,6,0.1,2,2,-100.5,0.0,0.1590443941756342,2
53,7,0.1,2,1,-100.5,0.0,0.17044616523907524,2
53,8,0.1,2,0,-100.5,0.0,0.052165204694061856,2
53,9,0.1,1,0,-100.5,0.0,0.09245220065985725,0
53,10,0.1,1,0,-0.5,0.0,0.05207303871941198,2
53,11,0.1,1,0,-0.5,0.0,0.11625667157121136,2
53,12,0.1,1,1,99.5,0.0,0.19637242098853175,3
53,13,0.1,0,1,-100.5,0.0,0.09040144366117278,0
53,14,0.1,0,2,99.5,4748.0908203125,0.2406292981702734,3
53,15,0.1,1,2,99.5,0.0,0.08435554017451044,1
53,16,0.1,2,2,99.5,0.0,0.2012894659672887,1
53,17,0.1,3,2,99.5,0.0,0.09593079642598848,1
53,18,0.1,3,1,-100.5,0.0,0.1341819545058261,2
53,19,0.1,3,0,-100.5,0.0,0.23090034247998997,2
53,20,0.1,3,1,99.5,0.0,0.10487567871699402,3
53,21,0.1,2,1,-100.5,0.0,0.2388550220390851,0
53,22,0.1,3,1,99.5,0.0,0.13064582426856702,1
53,23,0.1,3,2,99.5,0.0,0.14660917566064835,3
53,24,0.1,3,1,-100.5,0.0,0.0858653944699676,2
53,25,0.1,4,1,99.5,0.0,0.18824685442869987,1
53,26,0.1,4,0,-100.5,0.0,0.19359706156492612,2
53,27,0.1,4,1,99.5,5801.7294921875,0.14496169310488474,3
53,28,0.1,5,1,-100.5,0.0,0.22492973395546612,1
53,29,0.1,5,2,99.5,0.0,0.16181348984885513,3
53,30,0.1,6,2,-100.5,0.0,0.1502025294830996,1
53,31,0.1,5,2,99.5,0.0,0.08202357067485863,0
53,32,0.1,5,3,99.5,0.0,0.17331062100836925,3
53,33,0.1,5,2,-100.5,0.0,0.1876310069689448,2
53,34,0.1,5,1,-100.5,0.0,0.09995023720150019,2
53,35,0.1,6,1,-100.5,0.0,0.09897617302585655,1
53,36,0.1,6,2,99.5,7042.919921875,0.14983041141637554,3
53,37,0.1,6,3,99.5,7483.8671875,0.20885750841845668,3
53,38,0.1,7,3,-100.5,0.0,0.1504007166995066,1
53,39,0.1,8,3,-100.5,0.0,0.19777499882967414,1
